255,0,0,255,4,0
255,0,0,255,4,1
255,0,0,255,4,2
255,0,0,255,4,3
255,0,0,255,4,4
255,0,0,255,4,5
255,0,0,255,4,11
255,0,0,255,5,6
255,0,0,255,5,12
255,0,0,255,5,15
255,0,0,255,5,16
255,0,0,255,5,17
255,0,0,255,5,18
255,0,0,255,5,19
255,0,0,255,6,6
255,0,0,255,6,12
255,0,0,255,6,15
255,0,0,255,6,19
255,0,0,255,7,6
255,0,0,255,7,12
255,0,0,255,7,15
255,0,0,255,7,19
255,0,0,255,8,6
255,0,0,255,8,7
255,0,0,255,8,8
255,0,0,255,8,9
255,0,0,255,8,10
255,0,0,255,8,11
255,0,0,255,8,12
255,0,0,255,8,13
255,0,0,255,8,14
255,0,0,255,8,15
255,0,0,255,8,19
255,0,0,255,9,6
255,0,0,255,9,12
255,0,0,255,9,15
255,0,0,255,9,19
255,0,0,255,10,6
255,0,0,255,10,12
255,0,0,255,10,15
255,0,0,255,10,19
255,0,0,255,11,6
255,0,0,255,11,12
255,0,0,255,11,15
255,0,0,255,11,16
255,0,0,255,11,17
255,0,0,255,11,18
255,0,0,255,11,19
255,0,0,255,12,0
255,0,0,255,12,1
255,0,0,255,12,2
255,0,0,255,12,3
255,0,0,255,12,4
255,0,0,255,12,5
255,0,0,255,12,11
